                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2903,                 5.6923,                  1.306,                0.04762,                 0.0132,                0.03041,                0.02632,                 1.0652,                 5.6966,                 1.1958,             7.7203e-05,             7.7203e-05,             7.7203e-05
                      2,                 1.2607,                 4.5729,                 1.3031,                0.86152,                0.10536,                0.11256,                0.07763,                 1.2329,                 4.4618,                 1.3257,             0.00015605,             0.00015605,             0.00015605
                      3,                 1.2867,                 3.4564,                 1.3106,                0.72412,                0.20802,                0.20736,                 0.1242,                 1.2635,                 3.1255,                 1.3314,             0.00023411,             0.00023411,             0.00023411
                      4,                 1.3124,                 3.1401,                 1.3176,                0.58935,                0.26958,                0.22807,                0.13683,                 1.3011,                 2.5736,                 1.3552,             0.00031138,             0.00031138,             0.00031138
                      5,                 1.3234,                 2.7813,                 1.3132,                0.63667,                0.25992,                0.27372,                0.16677,                 1.3134,                  2.491,                 1.3537,             0.00033821,             0.00033821,             0.00033821
                      6,                 1.2967,                 2.6729,                 1.2704,                0.72827,                0.28815,                0.33676,                0.21903,                 1.3039,                 2.3719,                 1.3674,             0.00033821,             0.00033821,             0.00033821
                      7,                 1.2608,                 2.4757,                 1.2785,                0.56416,                0.33112,                0.33715,                0.21012,                 1.2547,                 2.1659,                 1.3258,             0.00033651,             0.00033651,             0.00033651
                      8,                 1.2212,                 2.3246,                 1.2363,                0.57039,                 0.3275,                0.32472,                0.20136,                 1.2891,                 2.3241,                 1.3373,             0.00033482,             0.00033482,             0.00033482
                      9,                 1.2361,                 2.2927,                 1.2404,                0.59071,                 0.3498,                0.37773,                0.23714,                 1.2714,                 2.0295,                  1.326,             0.00033312,             0.00033312,             0.00033312
                     10,                 1.1836,                 2.2089,                 1.2145,                0.66438,                0.34684,                0.39841,                0.25001,                  1.259,                 1.9992,                 1.3037,             0.00033142,             0.00033142,             0.00033142
                     11,                 1.1896,                 2.1619,                 1.2155,                 0.6732,                 0.3754,                 0.4074,                0.25174,                  1.235,                 1.8862,                 1.2916,             0.00032972,             0.00032972,             0.00032972
                     12,                 1.2018,                 2.0795,                 1.1897,                0.54939,                0.37193,                0.37727,                0.23649,                 1.2076,                 1.8828,                 1.2773,             0.00032803,             0.00032803,             0.00032803
                     13,                 1.1533,                 2.0406,                 1.1871,                0.74199,                0.33436,                 0.4123,                0.25729,                 1.2522,                 1.8991,                 1.3197,             0.00032633,             0.00032633,             0.00032633
                     14,                 1.1666,                 1.9723,                 1.1771,                0.47874,                0.45191,                 0.4486,                0.29364,                 1.2487,                 1.8862,                  1.314,             0.00032463,             0.00032463,             0.00032463
                     15,                 1.1071,                 1.8769,                 1.1526,                0.49345,                0.39356,                0.41663,                 0.2689,                   1.25,                 1.8847,                 1.3082,             0.00032293,             0.00032293,             0.00032293
                     16,                 1.1417,                 1.8883,                 1.1741,                 0.5356,                0.44718,                0.45118,                 0.2727,                 1.2323,                 1.8504,                 1.2867,             0.00032124,             0.00032124,             0.00032124
                     17,                 1.1213,                 1.8802,                 1.1688,                0.66279,                0.40142,                0.47857,                 0.3117,                 1.2254,                  1.775,                 1.2867,             0.00031954,             0.00031954,             0.00031954
                     18,                 1.1181,                 1.8183,                  1.163,                0.74315,                0.38969,                0.48389,                0.32039,                 1.2053,                 1.7678,                 1.2924,             0.00031784,             0.00031784,             0.00031784
                     19,                 1.0773,                 1.7373,                 1.1454,                0.67816,                0.40986,                0.45271,                0.30296,                 1.2255,                 1.8252,                 1.2975,             0.00031614,             0.00031614,             0.00031614
                     20,                 1.0895,                 1.7634,                 1.1234,                 0.6973,                 0.4125,                0.46251,                0.29991,                 1.2628,                    1.8,                 1.3116,             0.00031445,             0.00031445,             0.00031445
                     21,                 1.0933,                  1.708,                 1.1226,                0.70281,                0.45192,                 0.4735,                0.32109,                 1.2106,                 1.6978,                 1.2805,             0.00031275,             0.00031275,             0.00031275
                     22,                 1.0863,                 1.7072,                 1.1479,                0.65125,                0.41448,                0.47146,                0.31921,                  1.228,                 1.7837,                 1.2943,             0.00031105,             0.00031105,             0.00031105
